City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,opuwo,-18.0607,13.84,13.0,35,0,2.71,NA,1688606076
277,bodo,67.28,14.405,7.75,100,0,0.0,NO,1688606077
278,nampula,-15.1165,39.2666,16.05,91,35,1.48,MZ,1688606077
279,mpanda,-6.3655,31.0409,13.92,58,5,1.04,TZ,1688606077
280,itatinga,-23.1017,-48.6158,12.81,65,0,0.87,BR,1688606078
281,fiambala,-27.6871,-67.6149,14.38,22,0,0.05,AR,1688606078
282,neiafu,-18.65,-173.9833,27.38,69,40,4.12,TO,1688606078
283,codrington,-38.2667,141.9667,12.29,72,100,8.6,AU,1688606078
284,salekhard,66.53,66.6019,18.42,60,0,2.2,RU,1688606078
285,kavaratti,10.5669,72.642,28.2,79,100,11.55,IN,1688606079
286,montchanin,46.7496,4.4707,15.58,68,39,1.27,FR,1688606079
287,sabha,27.0377,14.4283,29.58,24,0,8.28,LY,1688606079
288,severo-yeniseyskiy,60.3725,93.0408,20.41,57,26,0.91,RU,1688606079
289,gamay,12.3854,125.2979,29.17,79,83,3.28,PH,1688606079
290,island harbour,50.724,-1.2758,15.55,84,10,3.44,GB,1688606080
291,egilsstadir,65.2653,-14.3948,5.95,93,75,3.6,IS,1688606080
292,banff,51.1762,-115.5698,15.83,62,97,1.6,CA,1688605816
293,kralendijk,12.15,-68.2667,27.48,85,83,11.96,BQ,1688606080
294,tazacorte,28.629,-17.9293,22.54,95,20,6.69,ES,1688606080
295,surigao,9.7839,125.4889,29.23,72,31,3.21,PH,1688606080
296,heihe,50.2441,127.4902,24.32,64,65,3.05,CN,1688606081
297,pathein,16.7833,94.7333,25.57,93,100,3.27,MM,1688606081
298,antofagasta,-23.65,-70.4,16.6,80,61,2.34,CL,1688606081
299,turpan,42.9333,89.1667,34.06,19,97,1.67,CN,1688606081
300,lindale,32.5157,-95.4094,32.24,70,0,4.63,US,1688606081
301,tabou,4.423,-7.3528,24.73,87,94,3.99,CI,1688606082
302,vrontados,38.4089,26.1328,22.92,88,0,1.03,GR,1688606082
303,saldanha,-33.0117,17.9442,12.75,57,100,4.06,ZA,1688606082
304,somerset east,-32.7217,25.588,6.33,68,2,1.61,ZA,1688606082
305,plastun,44.7561,136.2939,14.72,98,100,5.25,RU,1688606082
306,garhwa,24.1833,83.8167,29.97,65,100,1.43,IN,1688606082
307,manado,1.487,124.8455,31.43,66,20,3.09,ID,1688606083
308,champerico,14.3,-91.9167,27.86,78,100,1.77,GT,1688606083
309,mount pearl,47.5166,-52.7813,18.03,92,40,3.6,CA,1688606083
310,hirara,24.8,125.2833,31.92,79,75,7.72,JP,1688606083
311,kassala,15.451,36.4,27.78,63,100,9.39,SD,1688606083
312,chita,52.0333,113.55,19.94,68,100,5.0,RU,1688606083
313,morehead city,34.7229,-76.726,27.22,91,0,0.0,US,1688606084
314,kapa'a,22.0752,-159.319,29.99,74,40,6.69,US,1688606084
315,zhanaozen,43.3,52.8,26.23,42,0,4.19,KZ,1688606084
316,colombo,6.9319,79.8478,24.97,86,100,5.27,LK,1688606084
317,tres lagoas,-20.7511,-51.6783,19.1,43,0,2.63,BR,1688606084
318,slawharad,53.4446,31.0014,15.42,87,97,1.5,BY,1688606085
319,kaa-khem,51.6833,94.7333,19.05,52,100,0.79,RU,1688606085
320,menongue,-14.6585,17.691,9.04,53,0,1.93,AO,1688606085
321,red hill,33.9996,-79.2581,23.98,90,44,5.21,US,1688606085
322,vieste,41.8825,16.175,24.75,64,0,3.88,IT,1688606085
323,usinsk,65.9939,57.5281,17.25,68,100,6.03,RU,1688606085
324,umm kaddadah,13.6017,26.6876,28.76,52,93,4.16,SD,1688606086
325,prince rupert,54.3161,-130.3201,15.05,82,75,4.12,CA,1688605805
326,mount isa,-20.7333,139.5,23.87,41,100,1.54,AU,1688606086
327,fuling,29.7022,107.3919,27.64,80,100,0.48,CN,1688606086
328,port moresby,-9.4431,147.1797,27.82,80,70,1.71,PG,1688605943
329,tindouf,27.6711,-8.1474,31.25,25,0,7.2,DZ,1688606086
330,ad dawadimi,24.5077,44.3924,23.64,12,41,1.97,SA,1688606086
331,acarau,-2.8856,-40.12,26.28,80,25,6.86,BR,1688606087
332,paradip garh,20.3167,86.6167,28.66,78,100,4.15,IN,1688606087
333,sao tome,0.3365,6.7273,23.91,87,86,4.71,ST,1688606087
334,carnarvon,-24.8667,113.6333,15.54,63,100,6.18,AU,1688605874
335,tarko-sale,64.9225,77.785,22.21,51,0,4.24,RU,1688606087
336,crucecita,-28.95,-58.9833,18.86,72,5,3.69,AR,1688606087
337,salinopolis,-0.6136,-47.3561,26.23,84,70,4.15,BR,1688606088
338,dakhla,23.6848,-15.958,20.73,87,14,10.08,EH,1688606088
339,astrakhan,46.3497,48.0408,24.95,53,0,2.0,RU,1688606088
340,beidao,34.5686,105.8933,24.16,55,94,1.04,CN,1688606088
341,la'ie,21.6477,-157.9253,28.98,70,76,2.24,US,1688606088
342,zhezqazghan,47.7833,67.7667,19.32,63,0,6.0,KZ,1688606088
343,umluj,25.0213,37.2685,28.85,66,7,2.42,SA,1688606089
344,bowen,-20.0167,148.2333,24.47,83,99,1.23,AU,1688606089
345,colonia general alfredo stroessner,-25.3667,-55.7,17.25,72,9,2.28,PY,1688606089
346,keflavik,64.0049,-22.5624,7.24,87,0,5.66,IS,1688606089
347,touros,-5.1989,-35.4608,24.6,85,15,6.75,BR,1688606089
348,mana,5.6592,-53.7767,25.57,85,100,3.51,GF,1688606089
349,fada,9.5667,8.3,19.71,98,100,1.13,NG,1688606090
350,ghanzi,-21.5667,21.7833,10.72,40,0,3.48,BW,1688606090
351,matthew town,20.95,-73.6667,28.5,74,86,6.09,BS,1688606090
352,bikenibeu village,1.3673,173.1241,31.98,70,75,4.63,KI,1688606090
353,payakumbuh,-0.2202,100.6308,22.27,94,89,0.49,ID,1688606090
354,crane,31.3974,-102.3501,34.16,29,0,8.24,US,1688606090
355,dire,12.2833,-10.9667,22.81,82,100,0.97,ML,1688606091
356,howard springs,-12.497,131.047,29.95,80,18,2.28,AU,1688606091
357,sarmiento,-45.5882,-69.07,4.75,53,9,14.17,AR,1688606091
358,labytnangi,66.6572,66.4183,17.88,63,0,2.05,RU,1688606091
359,itoman,26.1247,127.6694,31.21,79,75,4.63,JP,1688606091
360,hala,25.8131,68.4227,28.99,69,99,6.86,PK,1688606091
361,naze,28.3667,129.4833,29.51,77,100,7.48,JP,1688606091
362,hammerfest,70.6634,23.6821,7.25,100,100,2.06,NO,1688606092
363,sumbawa besar,-8.5,117.4333,28.58,67,8,2.82,ID,1688606092
364,arraial do cabo,-22.9661,-42.0278,20.83,76,0,10.91,BR,1688606092
